Path,Class,Video ID,Frame ID,Caption
23/1529.33.jpg,23,1529,33,Rubbing or holding hands 
23/8688.21.jpg,23,8688,21,Rubbing or holding hands 
17/9283.5.jpg,17,9283,5,Folding arms 
8/2013.0.jpg,8,2013,0,Scratching or touching facial parts 
22/2771.5.jpg,22,2771,5,scraching or touching arms
23/14848.9.jpg,23,14848,9,Rubbing or holding hands 
26/1569.2.jpg,26,1569,2,Playing with jewelries
23/8688.0.jpg,23,8688,0,Rubbing or holding hands 
17/9165.6.jpg,17,9165,6,Folding arms 
32/14226.0.jpg,32,14226,0,Illustrative hand gestures 
11/3064.0.jpg,11,3064,0,touching jaw
22/8880.16.jpg,22,8880,16,scraching or touching arms
20/8694.1.jpg,20,8694,1,Moving torso
29/13477.1.jpg,29,13477,1,Pressing lips 
32/8358.1.jpg,32,8358,1,Illustrative hand gestures 
32/11131.4.jpg,32,11131,4,Illustrative hand gestures 
32/12008.0.jpg,32,12008,0,Illustrative hand gestures 
17/2176.1.jpg,17,2176,1,Folding arms 
32/2321.7.jpg,32,2321,7,Illustrative hand gestures 
23/6072.15.jpg,23,6072,15,Rubbing or holding hands 
32/13534.0.jpg,32,13534,0,Illustrative hand gestures 
20/5928.6.jpg,20,5928,6,Moving torso
32/12592.11.jpg,32,12592,11,Illustrative hand gestures 
32/12204.1.jpg,32,12204,1,Illustrative hand gestures 
32/5578.0.jpg,32,5578,0,Illustrative hand gestures 
32/11733.2.jpg,32,11733,2,Illustrative hand gestures 
26/7720.5.jpg,26,7720,5,Playing with jewelries
32/9573.4.jpg,32,9573,4,Illustrative hand gestures 
32/3078.16.jpg,32,3078,16,Illustrative hand gestures 
29/15173.0.jpg,29,15173,0,Pressing lips 
24/1524.38.jpg,24,1524,38,Crossing fingers 
20/12067.3.jpg,20,12067,3,Moving torso
23/14827.0.jpg,23,14827,0,Rubbing or holding hands 
20/3432.5.jpg,20,3432,5,Moving torso
11/11270.8.jpg,11,11270,8,touching jaw
26/10106.1.jpg,26,10106,1,Playing with jewelries
32/13635.0.jpg,32,13635,0,Illustrative hand gestures 
29/7652.1.jpg,29,7652,1,Pressing lips 
2/8868.5.jpg,2,8868,5,Bulging face
2/11542.3.jpg,2,11542,3,Bulging face
